[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000950s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000383s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000428s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001937s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SHOW COLUMNS FROM `czxy_departinfo` [ RunTime:0.001928s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SELECT `id`,`departname` FROM `czxy_departinfo`  [ RunTime:0.000319s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SHOW COLUMNS FROM `czxy_profession` [ RunTime:0.002025s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SELECT * FROM `czxy_profession`  [ RunTime:0.000209s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SHOW COLUMNS FROM `czxy_classinfo` [ RunTime:0.002111s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SELECT * FROM `czxy_classinfo` WHERE ( `id` = 1 )  [ RunTime:0.000211s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SHOW COLUMNS FROM `czxy_partyrole` [ RunTime:0.001701s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | SQL: SELECT `id`,`rolename` FROM `czxy_partyrole`  [ RunTime:0.000173s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_template ] --START--
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000234s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000275s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
