[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run ParseTemplate Behavior [ RunTime:0.010531s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010617s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_filter ] --START--
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run ContentReplace Behavior [ RunTime:0.000306s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run TokenBuild Behavior [ RunTime:0.000234s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000118s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run ShowRuntime Behavior [ RunTime:0.000275s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001056s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_end ] --START--
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run ShowPageTrace Behavior [ RunTime:0.000268s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_end ] --END-- [ RunTime:0.000303s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ route_check ] --START--
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Run CheckRoute Behavior [ RunTime:0.000500s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000558s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ app_begin ] --START--
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000317s ]
